cod_cliente,nome_operacao,razao_social,cnpj,empresa_grupo,regiao,descricao_regiao,beneficios_padrao,escala_padrao,endereco_padrao
30747,IFF TAUBATE,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0006-01,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,7,SAO JOSE CAMPOS,VT+ REFEITORIO NO LOCAL 30% periculosidade,Segunda a Sexta 07:00 – 12:00 – 13:00 – 16:00 Sabado 07:00 – 11:00,
50124,SOULAN,SOULAN ADMINISTRACAO E ASSESSORIA EM RECURSOS HUMANOS LTDA,59.051.086/0002-05,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,BENEFÍCIOS INTERNOS,SEG A SEX DAS 08:30 AS 18:00 COM 1H DE INTERVALO,"INTEGRAÇÃO - AV PAULISTA, 967 - 13º ANDAR - BELA VISTA, SÃO PAULO/SP"
50265,ENTEC,ENTEC DO BRASIL COMERCIO DE RESINAS LTDA,06.110.412/0001-60,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - R$ 1.285,00 POR MÊS (SEM DESCONTO) / AM (SEM DESCONTO)",SEG A SEX DAS 08:00 AS 17:48 COM 1H DE INTERVALO,
50309,ISA ENERGIA,ISA ENERGIA BRASIL S.A.,02.998.611/0001-04,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT,SEG A SEX DAS 08:00 AS 17:00 (3X PRESENCIAL 2X HOME OFFICE),Avenida Nações Unidas 14171 - Torre Cristal 04730-090 (ao lado da Estação de Trem Morumbi Shopping)
50492,BLUE SKIES,BLUE SKIES COMERCIO DE FRUTAS E HORTALICAS LTDA,07.999.077/0001-66,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,2,MOGI,"VT / VA - 420,00/MÊS (1% DE DESCONTO) / REFEITÓRIO NO LOCAL (R$ 1,92 DE DESCONTO POR DIA)",a defnir,"ROD ALFREDO ROLIM DE MOURA, Nº 7300, KM 75 - COCUERA - MOGI DAS CRUZES – CEP : 08880-000"
50626,IFF TAMBORE,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0002-88,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Assistência Médica, cesta básica, seguro de vida, VT (15 reais por dia)","Terças, Quartas e Quintas das 09hs às 12hs","Av. Sylvio Honório Álvares Penteado, 604 - Tamboré, Barueri - SP, 06460-025"
50629,BMB,BANCO MERCEDES BENZ DO BRASIL S A,60.814.191/0001-57,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"AUX HOME OFFICE R$99,92/VA 924,17/VR 1173,12/AM/AJUDA MOBILIDADE UBER 512,00",SEG A SEX DAS 09:00 AS 18:00,"Avenida Alfred Jurzykowski, 562 - prédio 20 - 2º andar, Vila Paulicéia, CEP 09680-900"
50699,IFF RJ,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0001-05,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT + REFEIÇÃO NO LOCAL +30% DE PERICULOSIDADE,SEG A SEX DAS 21:00 AS 05:48 COM 1H DE INTERVALO,"Avenida Brasil 22351, Rio de Janeiro"
51272,RAIA,RAIA DROGASIL S/A,61.585.865/0001-51,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT - DESCONTO 3% / VA R$ 174,10 / VR R$ 24,90 dia / SEGURO DE VIDA/ ODONTO SINDICATO/AM",SEG A SEX DAS 07:00 ÀS 16:20 COM 1H DE INTERVALO (HORÁRIO FLEXIVEL),"Av. Corifeu de Azevedo Marques, 3097, Vila Butantã, São Paulo 05339-000"
51525,SONOVA,SONOVA DO BRASIL PRODUTOS AUDIOLOGICOS LTDA,92.792.530/0001-38,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR R$ 36,00 +VT",Segunda a quinta das 08h às 18h e sexta das 08h às 17h,"Av Maria Coelho Aguiar, n° 215, Bl, A, 4° andar, Conj. 02 e 03, Jardim São Luiz, São Paulo, SP, CEP 05804-900."
51534,HK FERRAMENTAS,HK FERRAMENTAS IMPORTACAO E EXPORTACAO LTDA.,43.823.525/0002-10,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,"VT/VR R$30,00",Segunda a sexta das 08h00 às 17h48,"Av. João Paulo I, 1776 Galpão B1- Jardim São Luiz - Embu das Artes |"
51569,WURTH - RECIFE,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0050-33,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, VR ou VA (R$ 38,00/dia), SV",SEG A SEX DAS 07:00 AS 17:00,"Rod. Empresário João Santos Filho, 2425 - Muribeca, Jaboatão dos Guararapes - PE, 54352-295"
51709,RAIA CAMPOS DO JORDÃO A,RAIA DROGASIL S/A,61.585.865/1164-51,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA, VT e seguro de vida.",ESCALA 5X2 DAS 11:00 AS 21:00,"RUA DR REID, 1536"
51726,PROPARTS,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0001-05,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR Flash de R$ 35,00 por dia/ VT/ Plano de sáude Saúde Sul América",SEG A SEX DAS 08:00 AS 17:48 COM 1H DE INTERVALO / Híbrido: 2x presencial e 3x híbrido,"R. Eng. Mesquita Sampaio, 329 - Chácara Santo Antônio, São Paulo - SP, 04711-000 - Zona Sul"
51832,ARCELOR MITTAL,ARCELORMITTAL BRASIL S.A,17.469.701/0082-32,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,Plano de saúde e seguro de vida.,"Turno, escala 2 x 2 – 8:00 às 20:00","Avenida Acesso Rodoviário, S/N - Quadra 10, Módulos 01 e 02 - Bairro: Condomínio TIMS - Cidade: Serra / ES - CEP: 29161-376"
51906,EMUNAH,EMUNAH COMERCIO DE COSMETICOS E SANEANTES LTDA,08.682.240/0001-25,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,26,SAO PAULO,"VT, VR, bolsa de estudos (após 6 meses), seguro saúde (após 1 anos)",SEG A QUI DAS 08:00 AS 18:00 SEX DAS 08:00 AS 16:30 COM 1H DE INTERVALO,"Av. Angélica, 321 – Higienópolis, São Paulo (presencial)"
51936,ULTRACARGO,ULTRACARGO LOGISTICA SA,14.688.220/0016-40,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT R$22/DIA / VR R$1200/ VA R$450/ AM / SV,Seg a Sex 9h as 18h (4 dias presencial e 1 home),Avenida Brigadeiro Luiz Antônio n° 1343 Bela vista – SP
51941,ASSOCIAÇÃO,ASSOCIACAO TRANSPARENCIA E INTEGRIDADE,26.219.946/0001-37,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"vale transporte, vale-refeição e alimentação (R$805), seguro saúde (Porto Seguro Bronze Q Apto) e odontológico auxílio infraestrutura mensal para trabalho à distância (R$210), seguro de vida, benefício de saúde mental (Zenklub), Wellhub (Basic+), descanso no dia do aniversário, credencial SESC e 5 dias úteis de recesso remunerado no final do ano.","segunda a sexta-feira, das 9:00 às 18:00; modelo híbrido","Av. Brigadeiro Luis Antonio, 2364, sala 514 - Jd Paulista - 01401-900 São Paulo, SP."
51960,NEAT (THOMAS),NEAT SOLUCOES E TECNOLOGIA PARA RH LTDA,11.063.100/0001-83,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,BENEFICIOS INTERNOS,ESCALA INTERNA,
521,SALUTE,SALUTE INDUSTRIA DE PAPELAO ONDULADO LTDA,45.923.919/0001-95,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,9,POA,"VT 6% / VA 495,00 (O VA É PAGO PELO CLIENTE)",O horário de trabalho será de Seg a Sab. Das 05:00 às 13:20 – com 1 hora de intervalo.,
53558,SONOVA,SONOVA DO BRASIL PRODUTOS AUDIOLOGICOS LTDA,92.792.530/0001-38,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - 36,00 POR DIA COM DESCONTO / AM / VA - 163,83 POR MÊS",SEG A QUI DAS 08:00 AS 18:00 E SEX DAS 08: AS 17:00 COM 1H DE INTERVALO,"Av. Maria Coelho Aguiar, 215 – Bl.A – 4°andar – Cj. 02 e 03 Jd. São Luís – São Paulo – CEP 05804 900"
53568,NSK,NSK BRASIL LTDA,71.917.181/0001-63,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,10,SUZANO,"VT / VA R$351,00 / AM / AO / Restaurante na empresa, estacionamento (não tem auxíli combustível) e cesta de natal.",SEG A SEX DAS 08:00 AS 17:00 COM 1H DE INTERVALO,"Av. Vereador João Batista Fitipaldi, 66 - Vila Maluf, Suzano / SP"
53753,FARFETCH,FARFETCH COM BRASIL SERVICOS LTDA,11.844.299/0001-87,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA - R$ 990,00 POR MÊS / AUXILIO HOME OFFICE - R$ 100,00 POR MÊS",Segunda a Sexta 8h as 17h,"Avenida das Nações Unidas, 12.901 – 3° andar, sala 311 Edifício CENU – Torre Oeste – Brooklin Novo – São Paulo/SP"
53796,BLANVER,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.,53.359.824/0004-61,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,"VT + VA R$ 690,00",SEG A SEX DAS 06:00 AS 14:20 SAB ALTERNADOS COM 1H INTERVALO,"R. Joaquim Faustino de Camargo, 201 - Jardim São Paulo, Taboão da Serra - SP, 06767-385"
53814,WURTH - COTIA,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0001-55,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,VT/ESTACIONAMENTO - REFEIÇÃO NO LOCAL - SV,Segunda à sexta das 13h00 às 22h00,"R. Adolf Wurth, 557 - Jardim São Vicente, Cotia - SP, 06713-250"
53832,VERTEX,VERTEX FARMACEUTICA DO BRASIL LTDA,21.798.065/0001-02,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR 50,00 + PLR + ASSISTENCIA MEDICA UNIMED APARTAMENTO+ VT",SEG A SEX DAS 08:30 AS 17:30 COM 1H DE INTERVALO,"Av. Presidente Juscelino Kubitschek, 2041- Complexo JK Torre E – Conjunto A – 11º floor 04543-011 São Paulo"
54236,LIBBS,LIBBS FARMACEUTICA LTDA,61.230.314/0001-75,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT - ESTACIONAMENTO / VR R$64,00 DIA / AM (SEM DESCONTO)",SEG A SEX ENTRADA ENTRE 06:00 E 09:00 SAIDA ENTRE 15:00 E 18:00,MARQUES DE SAO VICENTE - 2219 - São Paulo
54288,LIBBS,LIBBS FARMACEUTICA LTDA,61.230.314/0005-07,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,"VT 6% - AM - VR 38,85 - SV",5X2 - FLEXIVEL DAS 09H00 AS 18H00,Alberto Correia Francfort - 88 - Embu das Artes
54341,BMB (OBRAMAX),BMB MATERIAL DE CONSTRUCAO SA,23.476.033/0001-08,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,REFEIÇÃO NO LOCAL / VT/ SV,SEG A SEX DAS 11:40 AS 18:00 E SAB DAS 09:40 AS 16:00 INTERVALO DE 20 MIN COM DUAS PAUSAS DE 10 MIN,OBRAMAX MOOCA - Av do Estado
54390,WURTH,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0049-08,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"( x )VT ( x )VA: R$ 234,00 ( x )VR: R$38,00 p/ dia ( x )SV Refeitório no local para levar a marmita.",Segunda à sexta (sábados alternados) das 13h00 às 22h00.,"Dom I. Jardim Piemonte / Sul - Jardim Piemonte, Betim - MG, 32669-895"
54433,EATON,EATON LTDA,54.625.819/0001-73,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,AM+VA+ REFEIÇÃO NO LOCAL,SEG A SEX DAS 07:30 AS 17:08,
54508,EATON,EATON LTDA,54.625.819/0028-93,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,FRETADO +AM +VA QUE TA NA CONVENÇÃO,52264 - SEG A SEX DAS 6:30 AS 14:30 - Sabados alternados,"Rua Clark, 2061, Bairro Macuco, Valinhos (Eventualmente atendimentos em Porto Feliz - Rodovia Marechal Rondon S/N Km 125)"
54729,UP.P,UP.P SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,35.977.097/0001-71,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,AM / AO / SV / CUIDADO INTEGRADO NA PLATAFORMA,SEG A SEX DAS 08:00 AS 17:48 3X POR SEMANA PRESENCIAL,"AVENIDA DAS NAÇÕES UNIDAS, 14401, 184 - TORRE JEQUETIBÁ, VILA GERTRUDES, SÃO PAULO/ SP - CEP: 04794-000"
54771,MTA,MTA BRASIL INDUSTRIA E COMERCIO DE COMPONENTES AUTOMOTIVOS LTDA,00.930.643/0001-34,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,12,ARUJA,"Fretado/VT , Alimentação no local sem desconto em folha;",Segunda a Sábado periodo tarde 13h40 as 22h,"Av. Takara Belmonte, 370 - Centro Industrial, Arujá - SP, 07411-710"
54792,CATENA IT,CATENA DESENVOLVIMENTO EM INFORMATICA LTDA,31.981.793/0001-09,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Assistência Médica Amil sem mensalidade, com coparticipação de apenas 30% - Assistência - Odontológica Amil sem mensalidade e sem coparticipação - Vale-Refeição de R$ 500,00 via cartão CAJU - Vale-Alimentação de R$ 220,00 via cartão CAJU - Descontos em Farmácias através da- Assistência Médica Amil - Bonificação após um ano de Catena IT - Programa Indique e Ganhe (R$ 500,00 por indicado após três meses de atuação do mesmo) - Programa de Desenvolvimento Individual",Híbrido - 2 dias presenciais no escritório e 3 dias em home office - 09h00 as 18h00,"Av. Brig. Faria Lima, 3477 - 14º Andar"
54795,CNA,CNA S.A.,60.881.299/0004-05,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"30% adicional periculosidade / VT / Cesta básica R$200,00 / Refeição no local",SEG A QUI DAS 06:00 AS 16:00 SEX DAS 06:00 AS 15:00 COM 1H DE INTERVALO,"Rua José Vicente Pedreira, 1111, Jardim Caxambu | 13425-010"
54916,REDE D'OR,REDE D'OR SAO LUIZ S.A.,06.047.087/0077-37,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT + VA 260,00 + Refeição no local e day off.",ESCALA 5X2 DAS 12:00 àS 21:48,Rede D'or Hospital Villa Lobos.
54925,RAFUL - COZINHA CENTRAL,TOP ARABE RESTAURANTE LTDA,11.928.186/0003-21,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,"SEGUNDA A QUINTA 07:00 as 16:30,  SEXTAS FEIRAS 07:00 as 16:00 SÁBADO ALTERNADOS DAS 07:00 as 11:00","R JOSE BENTO, 150 - CAMBUCI, SAO PAULO/SP - 01523-030"
54928,RAFUL - BRIGADEIRO,TOP ARABE RESTAURANTE LTDA,11.928.186/0001-60,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA - DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,SEG A QUA DAS 12:00 AS 20:00 QUI E SEX DAS 11:30 AS 20:00 E SAB DAS 08:00 AS 17:00,"Avenida Brigadeiro Luís Antônio, 2159, Bela Vista - São Paulo/ SP - CEP: 01317-002"
54929,RAFUL - ARABEK 25,TOP ARABE RESTAURANTE,11.928.186/0002-40,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,DE SEG A SEXTA DAS 8:30 AS 17:00HS/ SABADO DAS 8:30 AS 16:00,"RUA COMENDADOR ABDO SCHAHIN, 98, CENTRO, SÃO PAULO/ SP - CEP: 01023-055"
54931,RAFUL - IBIRAPUERA,TOP ARABE RESTAURANTE LTDA,11.928.186/0006-74,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,ESCALA 12x36 - DOMINGO A SABADO: 09H ÀS 21H,"RUA MANOEL DA NOBREGA, 1154, PARAISO, SÃO PAULO/ SP - CEP: 04001-003"
54935,WURTH - FORTALEZA,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0051-14,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, VR ou VA (R$ 38,00/dia), SV",SEG A QUI DAS 07:00 AS 17:00 SEX DAS 07:00 AS 16:00 COM 1H DE INTERVALO,BR 116 número 02555 - G6 e G7 PARQUE IRACEMA - FORTALEZA/CE - CEP 60824-115
54985,WURTH - FEIRA DE SANTANA,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0044-95,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT+VR 38,00 POR DIA",SEG A QUI DAS 7:00 AS 17:00 SEXTA DAS 07:00 AS 16:00,"Avenida Deputado Luis Eduardo Magalhães, S/N, Galpão 26 A, BR.324, KM 525 CIS Bairro: Limoeiro Feira de Santana/BA - CEP: 44097-324"
55039,IHS TOWERS,IHS BRASIL CESSAO DE INFRAESTRUTURAS SA,15.811.119/0001-11,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR R$ 40,00 SEM DESCONTO / AM",SEG A SEX DAS 08:00 AS 17:00 COM 1H DE INTERVALO,"Av. Dr. Chucri Zaidan, 296 - Vila Cordeiro, São Paulo - SP, 04583-110"
55055,INTERX,INTERX LOGISTICS LTDA,35.003.115/0001-14,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT - 6%/ VA - 421,58 FIXO/ AM/ AO/ VR - 42,00 DIÁRIO",SEG A QUI DAS 08:30 AS 18:00 SEX DAS 08:30 AS 17:00 COM 1:30 DE INTERVALO,"RUA PADRE ESTEVAO PERNET, 718, SALA 2202, TATUAPÉ, SÃO PAULO/SP - CEP: 03315-000"
55214,WURTH - PORTO ALEGRE,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0026-03,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, VR ou VA (R$ 38,00/dia), SV",SEG A QUI DAS 08:00 AS 18:00 SEX DAS 08:00 AS 17:00 COM 1H DE INTERVALO,"Av. João Elustondo Filho, 435 - Sarandi, Porto Alegre - RS, 91140-450"
55288,DANISCO -IFF,DANISCO BRASIL LTDA,46.278.016/0010-52,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR 39,00 3X POR SEMANA +AM+VA",SEGUNDA A SEXTA DAS 8H AS 17H,
55324,DANISCO -IFF,DANISCO BRASIL LTDA,46.278.016/0007-57,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR (39,00) / AM – Seguros Unimed Enfermaria / PLR SOULAN","segunda à sexta 08:00 às 17:00 – 2x na semana presencial, 3 x home office","Avenida Sylvio Honório Álvares Penteado, 370, Bloco Torre 5 – Barueri, São Paulo, Brasil – CEP 06460-025"
55371,RAFUL - PAULISTA,TOP ARABE RESTAURANTE,11.928.186/0004-02,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,ESCALA 5X2 DAS 11:32 AS 21:20,"AVENIDA PAULISTA , 1021, BELA VISTA, SÃO PAULO/ SP - CEP: 01311-100"
55396,PROPARTS,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0004-58,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,26,SAO PAULO,"VT / VR - R$ 35,00 POR DIA / ASSISTÊNCIA MÉDICA E ODONTO / SEGURO DE VIDA / R$1.000,00 se bater a meta do quiosque.",SEG A SEX DAS 08:00 ÀS 17:48 (3 DIAS HOME 2 DIAS PRESENCIAL),"R. Eng. Mesquita Sampaio, 329 - Chácara Santo Antônio, São Paulo - SP, 04711-000"
55411,DANISCO-IFF,DANISCO BRASIL LTDA,46.278.016/0001-61,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT; REFEITORIO DO LOCAL, SV E AM",Segunda à sexta-feira início das 07:00 às 16:00.,"Av. Sylvio Honório Álvares Penteado, 370 - Tamboré, Barueri - SP, 06460-025"
55458,CONSULADO ESP.,CONSULADO GERAL DA ESPANHA EM SAO PAULO,05.468.734/0001-13,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - 24,80 POR DIA / VA - 174,10 POR MÊS / AM - COM DESCONTO DE 30%",De segunda à sexta-feira das 08h00 às 15h15 com 15 minutos de intervalo,"Rua Canadá, 424 - Jardim Europa"
55469,VR BENEFICIOS,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0001-33,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - R$ 58,91 POR DIA / AM",SEG A SEX DAS 09:00 às 18:00 COM 1H DE INTERVALO (HÍBRIDO),"Av dos Bandeirantes, 460"
55496,GRUPO MPR,CNA S.A.,60.881.299/0008-39,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"30% periculosidade + Fornecimento de refeição no local, Cesta básica, Vale transporte.",2ª a 5ª 18h as 03h17 /6ª 18h as 02h17,"Av. Da Lycra, 106 - Loteamento industrial Salto Grande II - Americana | 13474-781"
