cod_cliente,nome_operacao,razao_social,cnpj,empresa_grupo,regiao,descricao_regiao,beneficios_padrao,escala_padrao,endereco_padrao
55534,SASCAR (MICHELIN),SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A,03.112.879/0001-51,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT+VR DE 44,00+AM",SEG A QUI DAS 07:30 AS 17:30 SEX DAS 07:30 AS 16:30 COM 1H DE ALMOÇO,
55601,ULTRACARGO,ULTRACARGO VILA DO CONDE LOGISTICA PORTUARIA S.A,34.130.063/0001-84,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA R$ 805,41 (desconto de 2,5% ao mês) / VR R$ 813,71 (desconto de 1,5% ao mês) / SV / AM",SEG A QUI DAS 07:00 AS 17:00 SEX DAS 07:00 AS 16:00 COM 1H DE INTERVALO,"BARCARENA,PA"
55612,SWIFT,SEARA ALIMENTOS LTDA,02.914.460/0382-04,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT + VA 500,00 + SV",5X2 - DAS 08:00 ÀS 18H00 COM 1H DE DESCANSO,
55619,BUNGE,BUNGE ALIMENTOS S/A,84.046.101/0574-62,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT OU ESTACIONAMENTO / VR 60 REAIS/DIA / VA 174,10 REAIS/MES / AM / SV / PLR / CONVENIO ODONTOLOGICO",De segunda a sexta dás 08:00 ás 17:48 – Sendo segunda e sexta home office,"Rodovia Jorge Lacerda, 4657 - KM 20 Bairro: Poço Grande CEP: 89115-285 Gaspar - SC"
55783,PUMA NOVO HAMBURGO,PUMA SPORTS LTDA.,05.406.034/0036-24,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT/ VR 960,00","ESCALA 6X1 - Das 13:20 as 21:20 - Domingos e feriados ganham mais R$121,00 conforme acordo sindical","RUA RINCÃO, 505 - CEP 93310-460 - NOVO HAMBURGO RS"
55829,VR SHOPPING,GLOBALL SERVICOS DE MARKETING S A,19.734.676/0001-37,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR R$ 58,91 / SV / AM",SEG A SEX DAS 09:00 às 18:00 COM 1H DE INTERVALO (HÍBRIDO - PRESENCIAL TERÇA E QUINTA),"Av dos Bandeirantes, nº 460, no Brooklin em São Paulo/ SP"
55861,SASCAR (MICHELIN),SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A,03.112.879/0004-02,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR R$ 44,00 / SV - AM","Segunda a sexta: 07h30 as 17h30, sexta saida antecipada as 16h30.","Av. Comendador Aladino Selmi, 4498 - Vila San Martin, Campinas -"
55865,PETZ,PET CENTER COMERCIO E PARTICIPACOES S.A.,18.328.118/0038-09,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,"4496 - VR: 2° TURNO: 25,58 (DESCONTO 10% DO VALOR FORNECIDO) VT 6% DES",2º Turno - 14h20 às 22h35,"PETZ CD EMBU - AV. HÉLIO OSSAMU DAIKUARA, 1445 - JARDIM VISTA ALEGRE, EMBU DAS ARTES - SP, 06807-017"
55880,GARRETT,GARRETT MOTION INDUSTRIA AUTOMOTIVA BRASIL LTDA,45.988.045/0018-00,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,16,GUARULHOS,"VANS - VT 6% - VA 287,16 MENSAL EM CARTÃO - ESTACIONAMENTO GRATUITO EM LOCAL - CONVENIO MEDICO SEM COPARTICIPAÇÃO E SV",A DEFINIR,"Av. Julia Gaiolli, 282 – Bonsucesso, Guarulhos – SP"
55891,RAFUL - QUIOSQUE,TOP ARABE RESTAURANTE,11.928.186/0007-55,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,ESCALA 6X1 - SEG A QUA E SEX A DOM DAS 12:00 AS 20:20 QUI DAS 13:40 AS 22:00,"AVENIDA PAULISTA, 1230, BELA VISTA, SÃO PAULO/SP - 01310-901"
55894,PETZ MAUÁ,PET CENTER COMERCIO E PARTICIPACOES S.A.,18.328.118/0207-20,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,4496 - VR: 2° TURNO: VT 6% DES,2º Turno - 14h20 às 22h35,"CD PETZ MAUÁ: ENDEREÇO: AV. ALBERTO SOARES SAMPAIO, 1764 - CAPUAVA, MAUÁ - SP, 09380-009"
55989,MR DO BRASIL,MR DO BRASIL INDUSTRIA MECANICA LTDA,43.966.092/0001-71,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,5,EMBU,"VR 1628,00 MENSAL COM DESCONTO DE 17% SOBRE O BENEFÍCIO +AM+ VT",5x2 - I 8:00 12:00 - 13:00 17:41,"Av. Elias Yasbek, 465 – Embu das Artes"
56002,HAOC,HOSPITAL ALEMAO OSWALDO CRUZ,60.726.502/0001-26,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"20% INSALUBRIDADE/VT / SV / Refeição no local; (desconto de R$3,84 por refeição)",ESCALA 6X1 DAS 12:00 ÀS 18:00,UNIDADE DA PAULISTA
56036,CNA,GRUPO MPR S.A.,50.492.809/0001-56,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"30% periculosidade + Refeição no local + Transporte fretado + Cesta Básica R$200,00","seg a qui, das 08h00 às 18h00 e sex das 08:00 as 17:00, com possibilidade de alteração futura para das 11h00 às 21h00.","Rua José Vicente Pedreira, 1111 JD. Caxambu - Piracicaba | 13425-010"
56058,GALETIM,BAR E RESTAURANTE GALETIM LTDA,55.047.995/0001-38,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6% - REFEIÇÃO NO LOCAL,SEG A QUI DAS 08:00 AS 18:00 SEX DAS 08:00 AS 17:00 COM 1H DE INTERVALO,"RUA CARNEIRO DA SILVA, 146, VILA LEOPOLDINA, SÃO PAULO/SP - CEP: 05304-030"
56196,BMB (OBRAMAX),BMB MATERIAL DE CONSTRUCAO S.A.,23.476.033/0006-12,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Vale transporte + VA 223,70 MENSAL + RESTAURANTE INTERNO COM DESCONTO DE 1,00 POR DIA",Seg a Sábado 09:00 às 17:20 e 10:00 às 18:20,"Avenida Alberto Soares Sampaio - 1764, Maua - SP"
56221,SOLAE (IFF),SOLAE DO BRASIL IND E COM DE ALIMENTOS LTDA,05.547.514/0001-85,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT+ AM+VR 39,00 POR DIA + VA 163,83 + SV","Escala 6x1, das 14:20 ás 22:40","R. Osvaldo Kroeff, 11 - Tres Portos, Esteio - RS, 93270-180."
56462,RAIA OLIMPIA,RAIA DROGASIL S/A,61.585.865/2918-81,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"10% de quebra de caixa / VT / VA 200,00 por mês com desconto de 20% Valor recebido",ESCALA 5X2 DAS 10:00 AS 20:00 COM 1H12 DE INTERVALO,"RAIA - MANOEL ZANIN Nº 17, CENTRO, OLIMPIA - SP CEP: 15400000"
56473,RAIA OLIMPIA,RAIA DROGASIL S/A,61.585.865/1216-17,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"10% de quebra de caixa / VT / VA 200,00 por mês com desconto de 20% Valor recebido",ESCALA 5X2 DAS 10:00 AS 20:00 COM 1H12 DE INTERVALO,"RAIA - RUA NOVE DE JULHO, 900, CENTRO, OLIMPIA - SP CEP: 15400000"
56566,DIA,DIA BRASIL SOCIEDADE LIMITADA EM RECUPERACAO JUDICIAL,03.476.811/0211-59,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,Vale transporte/fretado - refeitório no local,6x1 14H00 às 22h00,"Praça Agrícola La Paz Tristante, SN (Centro de Distribuição DIA Brasil"
56650,MAUSER,MAUSER DO BRASIL EMBALAGENS INDUSTRIAIS S.A.,08.246.617/0007-99,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,10,SUZANO,"VA 200,00 + REFEIÇÃO NO LOCAL+ VT - SV",AGUARDANDO O ENVIO,"Av. Jorge Bei Maluf, 2163 (Complexo Industrial Clariant) - Vila Theodoro, Suzano - SP"
56675,AVL,AVL SOUTH AMERICA LTDA,03.883.390/0002-64,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"( x )VT ( x )VA: R$300,00 ( x )VR: R$40,00 ( x )AM ( )AO ( )SV",1° turno: Segunda a sexta das 05h00 às 14h00 e Sábado das 05h00 às 09h00,"Rua Antonio Utrilla 315 Cidade Industrial Satélite de SP, 07230-650 Guarulhos."
56685,RAFFOUL 25,RAFFOUL RESTAURANTES LTDA,51.667.335/0001-07,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ AM/ AO - REFEIÇÃO NO LOCAL,DE SEGUNDA A SEXTA 09:00 AS 17:30 SABADO 09:00AS 16:30,"RUA COMENDADOR ABDO SCHAHIN, 116/18, CENTRO, SÃO PAULO/ SP - CEP: 01023-055"
56691,RAIA CAMPOS DO JORDÃO B,RAIA DROGASIL S/A,61.585.865/3190-50,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA, VT e seguro de vida.",ESCALA 5X2 DAS 13:00 ÀS 23:00 COM 1H12 DE INTERVALO,AVENIDA DR. JANUÁRIO MIRAGLIA Nº 3300
56702,TENDA,CONSTRUTORA TENDA S/A,71.476.527/0128-18,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR R$35,00 +VT",SEG A QUI DAS 08h as 18 sex das 7H AS 16H COM 1H DE ALMOÇO,
56719,CONSAG,CONSAG ENGENHARIA S/A,40.008.239/0004-75,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"vr 55,00 +AM+ VT",SEG A SEX DAS 08:00 AS 17:30,
56726,GRUPO MPR,CNA S.A.,60.881.299/0012-15,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,30% periculosidade + Refeição no local,SEG A SEX DAS 07:00 ÀS 16:48,"Estr. Mun. Jayme Alberto Bergstron, 640 - Distrito Industrial,Cordeirópolis - SP, 13492-602"
56740,BUNGE,BUNGE ALIMENTOS S/A,84.046.101/0301-81,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT (DESCONTO DE 6%) + REFEITORIO LOCAL R$25,00 FIXO MES + VA 661,00 + AM + SV",07:30 às 17:18 – Seg à sexta,"Av. Almirante Maximiano da Fonseca, 4350 - Distrito Industrial, Rio Grande - RS, 96204-040"
56743,VR BENEFICIOS,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0007-29,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - R$ 45,18 POR DIA / AM",SEG A SEX DAS 09:00 às 18:00 COM 1H DE INTERVALO (HÍBRIDO),"Rua Pasteur, 463, Água Verde"
56808,BREMIL SA -IFF,BREMIL S/A INDUSTRIA DE PRODUTOS ALIMENTICIOS,91.897.876/0001-38,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT + AM + REFEIÇÃO NO LOCAL,ESCALA 6x1 - SEG A SEX DAS 13:30 ÀS 22:00 E SAB DAS 09:30 ÀS 18:00 COM 1H DE INTERVALO,"RS-130, 1770 - Medianeira, Arroio do Meio - RS, 95940-000"
56868,PUMA,PUMA SPORTS LTDA.,05.406.034/0034-62,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR 43,65 o dia (Proporcial)+ VT","8h por dia / 3 dias por semana (Folgas aos domingos compensadas na semana, a escolha do gerente em alinhamento com o Associado).",Rod BA 099 estrada do Coco s/n bloco 2 loja 1017A/1017B
56962,RAIA CALDAS NOVAS 1,RAIA DROGASIL S/A,61.585.865/0985-34,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,,ESCALA 5X2 DAS 12:00 ÀS 22:00 COM 1H12 DE INTERVALO,"RUA CORONEL JOÃO BATISTA, 11 - CENTRO - CEP 75690-000"
56964,PROPARTS,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0006-10,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Assistência Médica, seguro de vida, VR (30.00 por dia), VT","13:45 ás 22:00 – 6x1 / treinamento: 09:30 às 18:15 na loja Garmin Moema (Av. Sabia, 252- Moema)","Av. Giovanni Gronchi, 5930 - Vila Andrade, São Paulo - SP, 05724-002"
56966,RAIA CAGC CENTRO OESTE,RAIA DROGASIL S/A,61.585.865/2106-36,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT - DESCONTO 6% / VA R$ 200,00 / SEGURO DE VIDA/ QUEBRA DE CAIXA (R$ 340,00)",5X1 DAS 13:00 ÀS 21:20 COM 1H DE DESCANSO,"AVENIDA TIRADENTES, 12"
56969,RAIA CAGC CENTRO OESTE,RAIA DROGASIL S/A,61.585.865/3257-00,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT - DESCONTO 6% / VA R$ 200,00 / SEGURO DE VIDA/ QUEBRA DE CAIXA (R$ 340,00)",5X1 DAS 13:00 ÀS 21:20 COM 1H DE DESCANSO,AVENIDA ANTÔNIO SANCHES FERNANDES Nº S/N - LT 4
56974,RAIA AGUAS LINDAS GO 02,RAIA DROGASIL S/A,61.585.865/2646-47,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"quebra de caixa 340,00 e VA 200 reais + VT",5x2 13h as 23h,
57007,RAIA DESCALVADO A,RAIA DROGASIL S/A,61.585.865/2582-48,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA R$200,00, VT e seguro de vida.",ESCALA 3X1 DAS 07:00 AS 17:00/10:00 AS 20:00/13:00 AS 23:00,"RUA CORONEL ARTHUR WHITACKER, 539 CEP: 13690000 DESCALVADO SP"
57235,BUNGE,BUNGE ALIMENTOS S/A,84.046.101/0284-46,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, AM, SV, Fretado, refeição no local, VA valor R$ 500,00",221 - SEG A SEX DAS 08:00 AS 17:48 COM 1H DE INTERVALO (PRESENCIAL),"Rodovia BR376 Km 506,5, sem número - Distrito Industrial."
57236,RAIA,RAIA DROGASIL S/A,61.585.865/2950-11,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Vale Alimentação R$ 200,00, Seguro de Vida, Vale transporte 3%",3X1 - 07:00 - 17:00/10:00 - 20:00/13:00 - 23:00 COM 1H12 DE INTERVALO,AV ANTONIO GONCALVES DA SILVA Nº 529 CENTRO JOSE BONIFACIO
57237,ARRAY,STINORLAND BRASIL LTDA,22.314.723/0004-40,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR 55 REAIS/DIA / VA 163,33 / PLR 27,57 / SEGURO DE VIDA / AO / AM - PLANO APTO",5X2 Das 8:30 hs às 18:18 hs,"Avenida Francisco Matarazzo, nº 1500, 3º andar, Ed. New York, Água Branca, São Paulo – SP, CEP 05.001-100"
57241,SONOVA,SONOVA DO BRASIL PRODUTOS AUDIOLOGICOS LTDA,92.792.530/0093-56,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - 36,00 POR DIA COM DESCONTO",SEG A SEX DAS 13:39 as 17:30 COM 1H DE INTERVALO,"Av. Ayrton Senna da Silva, 70 - Loja 07 - Fazenda Gleba Palhano, Londrina - PR, 86050-460"
57242,BUNGE,BUNGE ALIMENTOS S/A,84.046.101/0467-70,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, AM (451,99.), REFEIÇÃO NO LOCAL, VA 450,00 MES, SV","Seg a Qui 08H -18H, sex 08H-17H.","Rod. Senador Laurindo Dias Minhoto, KM 26B – Agua Branca, Tatuí/SP – CEP 18273-265"
57266,NILIT,NILIT AMERICANA FIBRAS DE POLIAMIDA LTDA.,21.103.316/0001-89,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Fretado com 6% de desconto se utilizar - Restaurante interno com desconto de R$ 1,42 por dia - Seguro de vida",ESCALA 6X2 (REVEZAMENTO DE TURNO) DAS 05:25 AS 13:45/ DAS 13:40 AS 22:00/ DAS 21:50 AS 05:30 COM 1H DE INTERVALO,"Av. São Jerônimo, 6001 – Morada do Sol, Americana – SP, 13470-310"
57268,SUPERA FARMA,SUPERA FARMA LABORATORIOS S.A,43.312.503/0007-09,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,AM + SEXTA FEIRA CURTA + HORARIO FLEXIVEL + SEGURO DE VIDA + ALIMENTAÇÃO NO LOCAL,SEG A QUI DAS 08:00 AS 17:00 - SEXTA: Horário flexível – das 06h10 as 09h30 e a saída mínimo 15h30 -02 homes offices / presencial aliado com a área.,"Rua Alexandre de Gusmão, 568 – Vila Socorro"
57269,CIA DAS LETRAS,EDITORA SCHWARCZ S.A.,55.789.390/0001-12,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,16,GUARULHOS,"VT com 6% desconto + VR DE R$ 40,00 POR DIA -COM DESCONTO DE R$1,00 POR MÊS",A ESCALA SERA DE SG A SEX -08h as 17h,
57288,RAIA CAGC RIB. PRETO,RAIA DROGASIL S/A,61.585.865/2097-00,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"Vale Alimentação R$ 200,00, Seguro de Vida, Vale transporte 3%","3x1 (7 às 17, 13 às 23 e 10 às 20) e 6X1 (22:40 às 07:00 com folgas aos domingos)","Rua Navarro de Andrade n°1673 Qd 202 Lotes 12 e 13A - Centro, CEP: 15775-000 Santa Fé do Sul - SP"
57290,BUNGE - PONTA GROSSA,BUNGE ALIMENTOS S/A,84.046.101/0370-03,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA R$460,00 / AM / SV / FRETADO / REFEITORIO NO LOCAL",Segunda à sábado das 13h20 às 21h40,"Rod. BR 376, Km 507,7 Ponta Grossa – PR – Brasil_Bunge Moinho de Trigo"
57302,AUDIONOVA,AUDITIV COMERCIO E SERVICOS DE PRODUTOS HOSPITALARES LTDA,23.689.774/0014-91,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR R$36,00 com desconto de 6,25% /VT/AM",Segunda a sexta de 08:30 às 17:30; Sábados: 08:00 às 12:00,"R. Antônio Rabelo Júnior, 170 - Miramar, João Pessoa - PB, 58032-090"
57328,REDE D'OR,REDE D'OR SAO LUIZ S.A.,06.047.087/0150-80,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT + VA 260,00 + Refeição no local e day off.",Escala 12x36 das 19:00 às 07:00,"Rua Dr. Francisco Eugênio, 95 - Alto da Mooca, São Paulo - SP, 03184-110"
57338,AXCHEM,AXCHEM BRASIL INDUSTRIA QUIMICA LTDA,12.344.954/0001-09,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"R$ 174,10,PLR: R$ 351,60 Valor vigente em 2026 (Pago em 2x) Seguro de vida AO pelo sindicato",ESCALA 6X2 ROTATIVA 06h às 14h / 14h às 22h / 22h às 06h,Rodovia Presidente Tancredo de Almeida Neves S/N - KM 34 Zona Rural CEP: 07.705-000 - Caieiras - SP
57348,RAIA AGUAS DE LINDOIA A,RAIA DROGASIL S/A,61.585.865/3338-00,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"10% de quebra de caixa / VT / VA 200,00 por mês com desconto de 20% Valor recebido",ESCALA 5X2 DAS 11:00 AS 21:00 COM 1H12 DE INTERVALO,"PRC GENERAL SILVA JUNIOR Nº 68, SAO FRANCISCO - AGUAS DE LINDOIA/SP - 13940-000"
57351,LIV UP,LIV UP COMERCIO DE ALIMENTOS LTDA,23.353.693/0001-00,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT = Marmita da LivUp,Terça à sábado das 10h às 18h,"Av. dos Carinás, 450 - Indianópolis, São Paulo - SP, 04086-010, Brasil"
57352,RAIA STA RT PS QUATRO A,RAIA DROGASIL S/A,61.585.865/2671-58,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA 200,00 / SV 10% / QUEBRA DE CAIXA 10%",11:00 às 21:00,SANTA RITA DO PASSA QUATRO
57353,RAIA SERRA NEGRA A,RAIA DROGASIL S/A,61.585.865/4056-40,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA 200,00 / SV 10% / QUEBRA DE CAIXA 10%",09:00 às 19:00,SERRA NEGRA
57354,RAIA CALDAS NOVAS 4,RAIA DROGASIL S/A,61.585.865/4035-15,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA 200,00 / SV 10% / QUEBRA DE CAIXA 10%",12:00 às 22:00,"AVENIDA BENTO DE GODOY NETO, S/N 75689210 SANTA EFIGENIA."
57356,RAIA CAGC RIB. PRETO,RAIA DROGASIL S/A,61.585.865/3722-96,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA R$ 200,00 (20%)- VT (3%) - SV",ESCALA 3X1 DAS 07:00 AS 17:00/10:00 AS 20:00/13:00 AS 23:00,RUA CARLOS BUENO DE TOLEDO Nº 93
57357,INTERCEMENT - AL,INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL,62.258.884/0141-96,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VA 541,46 COM DESCONTO DE 10% +AM REFEIÇÃO NO LOCAL COM DESCONTO MENSAL DE 23,00",,"Fazenda São Sebastião, s/n – Zona Rural, São Miguel dos Campos/AL"
631,SOULAN,SOULAN ADMINISTRACAO E ASSESSORIA EM RECURSOS HUMANOS LTDA,59.051.086/0001-24,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,2,MOGI,BENEFÍCIOS INTERNOS,SEG A SEX DAS 08:30 AS 18:00 COM 1H DE INTERVALO,"INTEGRAÇÃO - AV PAULISTA, 967 - 13º ANDAR - BELA VISTA, SÃO PAULO/SP - TRABALHO EM MOGI"
66,MEIWA,MEIWA INDUSTRIA E COMERCIO LTDA,55.078.307/0001-05,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,12,ARUJA,"VT e/ou FRETADO / VR - R$ 24,80 POR DIA (DESCONTO DE 10% DO BENEFÍCIO) / AM E AO - NOTREDAME",13:40/23:28 Seg. à Sex.,
982,SOPREMA,SOPREMA LTDA,04.064.707/0001-12,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,2,MOGI,NÃO SE APLICA,SEG A SEX DAS 7H AS 13H COM 15MINUTOS DE INTERVALO,
